lang,century_ah,death_ah,author_uri,author_translit,author_name,book_uri,title_translit,title_ar,genre_tags,n_versions,version_ids,version_files,book_path,book_yml,tafsir_flag,tafsir_reason
AR,25,1,0001AbuTalibCabdManaf,AbuTalibCabdManaf,Ibn Fulān al-Fulānī,0001AbuTalibCabdManaf.Diwan,Diwan,Kitāb al-Muʾallif,"src@keyword, src@keyword, src@keyword",2,JK007501-ara1 | ShamAY0037822-ara1,0001AbuTalibCabdManaf.Diwan.JK007501-ara1 | 0001AbuTalibCabdManaf.Diwan.ShamAY0037822-ara1,/Volumes/LaCie/openiti_corpus/AR/0025AH/data/0001AbuTalibCabdManaf/0001AbuTalibCabdManaf.Diwan,/Volumes/LaCie/openiti_corpus/AR/0025AH/data/0001AbuTalibCabdManaf/0001AbuTalibCabdManaf.Diwan/0001AbuTalibCabdManaf.Diwan.yml,0,
AR,25,1,0001AwsIbnHajar,AwsIbnHajar,Ibn Fulān al-Fulānī,0001AwsIbnHajar.Diwan,Diwan,Kitāb al-Muʾallif,"src@keyword, src@keyword, src@keyword",2,JK007502-ara1 | ShamAY0037914-ara1,0001AwsIbnHajar.Diwan.JK007502-ara1 | 0001AwsIbnHajar.Diwan.ShamAY0037914-ara1,/Volumes/LaCie/openiti_corpus/AR/0025AH/data/0001AwsIbnHajar/0001AwsIbnHajar.Diwan,/Volumes/LaCie/openiti_corpus/AR/0025AH/data/0001AwsIbnHajar/0001AwsIbnHajar.Diwan/0001AwsIbnHajar.Diwan.yml,0,
AR,25,1,0001CalqamaFahl,CalqamaFahl,Ibn Fulān al-Fulānī,0001CalqamaFahl.Diwan,Diwan,Kitāb al-Muʾallif,"src@keyword, src@keyword, src@keyword",2,JK007522-ara1 | ShamAY0037936-ara1,0001CalqamaFahl.Diwan.JK007522-ara1 | 0001CalqamaFahl.Diwan.ShamAY0037936-ara1,/Volumes/LaCie/openiti_corpus/AR/0025AH/data/0001CalqamaFahl/0001CalqamaFahl.Diwan,/Volumes/LaCie/openiti_corpus/AR/0025AH/data/0001CalqamaFahl/0001CalqamaFahl.Diwan/0001CalqamaFahl.Diwan.yml,0,
AR,25,1,0001CamrIbnKulthum,CamrIbnKulthum,Ibn Fulān al-Fulānī,0001CamrIbnKulthum.Diwan,Diwan,Kitāb al-Muʾallif,"src@keyword, src@keyword, src@keyword",2,JK007524-ara1 | ShamAY0037904-ara1,0001CamrIbnKulthum.Diwan.JK007524-ara1 | 0001CamrIbnKulthum.Diwan.ShamAY0037904-ara1,/Volumes/LaCie/openiti_corpus/AR/0025AH/data/0001CamrIbnKulthum/0001CamrIbnKulthum.Diwan,/Volumes/LaCie/openiti_corpus/AR/0025AH/data/0001CamrIbnKulthum/0001CamrIbnKulthum.Diwan/0001CamrIbnKulthum.Diwan.yml,0,
AR,25,1,0001CamrIbnKulthum,CamrIbnKulthum,Ibn Fulān al-Fulānī,0001CamrIbnKulthum.Mucallaqa,Mucallaqa,Kitāb al-Muʾallif,"src@keyword, src@keyword, src@keyword",1,ShamAY0038526-ara1,0001CamrIbnKulthum.Mucallaqa.ShamAY0038526-ara1,/Volumes/LaCie/openiti_corpus/AR/0025AH/data/0001CamrIbnKulthum/0001CamrIbnKulthum.Mucallaqa,/Volumes/LaCie/openiti_corpus/AR/0025AH/data/0001CamrIbnKulthum/0001CamrIbnKulthum.Mucallaqa/0001CamrIbnKulthum.Mucallaqa.yml,0,
AR,25,1,0001CamrIbnMalik,CamrIbnMalik,Ibn Fulān al-Fulānī,0001CamrIbnMalik.Diwan,Diwan,Kitāb al-Muʾallif,"src@keyword, src@keyword, src@keyword",1,JK007525-ara1,0001CamrIbnMalik.Diwan.JK007525-ara1,/Volumes/LaCie/openiti_corpus/AR/0025AH/data/0001CamrIbnMalik/0001CamrIbnMalik.Diwan,/Volumes/LaCie/openiti_corpus/AR/0025AH/data/0001CamrIbnMalik/0001CamrIbnMalik.Diwan/0001CamrIbnMalik.Diwan.yml,0,
AR,25,1,0001CamrIbnQumaya,CamrIbnQumaya,Ibn Fulān al-Fulānī,0001CamrIbnQumaya.Diwan,Diwan,Kitāb al-Muʾallif,"src@keyword, src@keyword, src@keyword",2,JK007523-ara1 | ShamAY0037903-ara1,0001CamrIbnQumaya.Diwan.JK007523-ara1 | 0001CamrIbnQumaya.Diwan.ShamAY0037903-ara1,/Volumes/LaCie/openiti_corpus/AR/0025AH/data/0001CamrIbnQumaya/0001CamrIbnQumaya.Diwan,/Volumes/LaCie/openiti_corpus/AR/0025AH/data/0001CamrIbnQumaya/0001CamrIbnQumaya.Diwan/0001CamrIbnQumaya.Diwan.yml,0,
AR,25,1,0001CantaraIbnShaddad,CantaraIbnShaddad,Ibn Fulān al-Fulānī,0001CantaraIbnShaddad.Diwan,Diwan,Kitāb al-Muʾallif,"src@keyword, src@keyword, src@keyword",3,JK007526-ara1 | LAL2018100901-ara2 | ShamAY0037906-ara1,0001CantaraIbnShaddad.Diwan.JK007526-ara1 | 0001CantaraIbnShaddad.Diwan.LAL2018100901-ara2 | 0001CantaraIbnShaddad.Diwan.ShamAY0037906-ara1,/Volumes/LaCie/openiti_corpus/AR/0025AH/data/0001CantaraIbnShaddad/0001CantaraIbnShaddad.Diwan,/Volumes/LaCie/openiti_corpus/AR/0025AH/data/0001CantaraIbnShaddad/0001CantaraIbnShaddad.Diwan/0001CantaraIbnShaddad.Diwan.yml,0,
AR,25,1,0001CantaraIbnShaddad,CantaraIbnShaddad,Ibn Fulān al-Fulānī,0001CantaraIbnShaddad.Mucallaqa,Mucallaqa,Kitāb al-Muʾallif,"src@keyword, src@keyword, src@keyword",1,ShamAY0038527-ara1,0001CantaraIbnShaddad.Mucallaqa.ShamAY0038527-ara1,/Volumes/LaCie/openiti_corpus/AR/0025AH/data/0001CantaraIbnShaddad/0001CantaraIbnShaddad.Mucallaqa,/Volumes/LaCie/openiti_corpus/AR/0025AH/data/0001CantaraIbnShaddad/0001CantaraIbnShaddad.Mucallaqa/0001CantaraIbnShaddad.Mucallaqa.yml,0,
AR,25,1,0001CurwaIbnWard,CurwaIbnWard,Ibn Fulān al-Fulānī,0001CurwaIbnWard.Diwan,Diwan,Kitāb al-Muʾallif,"src@keyword, src@keyword, src@keyword",2,JK007521-ara1 | ShamAY0037959-ara1,0001CurwaIbnWard.Diwan.JK007521-ara1 | 0001CurwaIbnWard.Diwan.ShamAY0037959-ara1,/Volumes/LaCie/openiti_corpus/AR/0025AH/data/0001CurwaIbnWard/0001CurwaIbnWard.Diwan,/Volumes/LaCie/openiti_corpus/AR/0025AH/data/0001CurwaIbnWard/0001CurwaIbnWard.Diwan/0001CurwaIbnWard.Diwan.yml,0,
